symbol,market,name,as_of,currency,close,return_1m,return_3m,return_6m,return_12m,relative_to_52w_high,relative_to_52w_low,source
300547.SZ,CN_A,川环科技,20260602,CNY,36.42,-0.014343707713125875,-0.02776294714361982,0.03436523714853745,0.24854302365443948,-0.3255555555555555,0.3544068426924507,Tushare pro.daily; returns by trading-day windows
002179.SZ,CN_A,中航光电,20260602,CNY,35.63,-0.017103448275861965,0.0022503516174403604,0.018582046883933945,-0.11124968820154657,-0.1651827553889409,0.10412147505422986,Tushare pro.daily; returns by trading-day windows
688629.SH,CN_A,华丰科技,20260602,CNY,137.9,0.08446052217678512,0.07734375000000004,0.6061029583042163,1.5799812909260993,-0.10408004158004147,1.837448559670782,Tushare pro.daily; returns by trading-day windows
603757.SH,CN_A,大元泵业,20260602,CNY,59.75,0.1669921875,0.31898454746136884,0.6139924365207994,1.479253112033195,-0.10150375939849621,1.790751985053713,Tushare pro.daily; returns by trading-day windows
688800.SH,CN_A,瑞可达,20260602,CNY,119.29,0.29073793551179405,0.1323208353108687,0.6648988136775993,1.2773959526536847,-0.17600331560406168,2.111371935315597,Tushare pro.daily; returns by trading-day windows
300351.SZ,CN_A,永贵电器,20260602,CNY,17.84,-0.19856244384546273,-0.10035300050428642,0.038416763678696064,0.12555205047318618,-0.34411764705882353,0.21031207598371782,Tushare pro.daily; returns by trading-day windows
300731.SZ,CN_A,科创新源,20260602,CNY,61.44,-0.12912827781715097,-0.11507993662681848,0.30114358322744605,1.3813953488372093,-0.36,1.4303797468354427,Tushare pro.daily; returns by trading-day windows
002837.SZ,CN_A,英维克,20260602,CNY,67.49,-0.28582010582010586,-0.37797235023041476,-0.07446516730663755,1.06013431013431,-0.4425999339279816,1.806237006237006,Tushare pro.daily; returns by trading-day windows
300499.SZ,CN_A,高澜股份,20260602,CNY,36.9,-0.05384615384615388,-0.05433111225012821,0.38305847076461763,1.1873147599288676,-0.2236482221754682,1.247259439707673,Tushare pro.daily; returns by trading-day windows
301018.SZ,CN_A,申菱环境,20260602,CNY,98.9,-0.15121867490559548,-0.07621894264898188,0.8688586545729404,1.7066228790366722,-0.41193958853609225,1.996061799454711,Tushare pro.daily; returns by trading-day windows
300990.SZ,CN_A,同飞股份,20260602,CNY,78.5,-0.06100478468899517,-0.16123517469815152,0.13275613275613285,0.6395154553049289,-0.2451923076923077,0.780045351473923,Tushare pro.daily; returns by trading-day windows
002050.SZ,CN_A,三花智控,20260602,CNY,45.17,0.007809013833110168,-0.1179457137277875,0.09715812484819053,0.694298574643661,-0.22865437158469948,0.8436734693877552,Tushare pro.daily; returns by trading-day windows
002126.SZ,CN_A,银轮股份,20260602,CNY,50.19,0.07404237106783662,0.029538461538461513,0.5553145336225593,0.8790715087982028,-0.15873281930942007,1.2188328912466844,Tushare pro.daily; returns by trading-day windows
300602.SZ,CN_A,飞荣达,20260602,CNY,45.0,0.22783083219645306,0.15118956254796623,0.6054227613271495,1.227722772277228,-0.08312958435207818,1.486187845303867,Tushare pro.daily; returns by trading-day windows
