symbol,market,name,as_of,currency,close,return_1m,return_3m,return_6m,return_12m,relative_to_52w_high,relative_to_52w_low,source
002028.SZ,CN_A,思源电气,20260602,CNY,206.27,0.0478004673371939,-0.0380543767196753,0.4577385159010601,1.7754305705059208,-0.1166545329964454,1.9471353050435785,Tushare pro.daily; returns by trading-day windows
688676.SH,CN_A,金盘科技,20260602,CNY,96.25,0.0842627013630732,-0.0437158469945355,0.2519510926118626,1.9506437768240348,-0.0940323795180722,2.138245842843169,Tushare pro.daily; returns by trading-day windows
301291.SZ,CN_A,明阳电气,20260602,CNY,54.46,-0.1224621334192717,-0.0602243313201035,0.2533947065592634,0.3263516804676083,-0.2276272869096582,0.4679245283018867,Tushare pro.daily; returns by trading-day windows
002922.SZ,CN_A,伊戈尔,20260602,CNY,40.2,-0.0100960354592464,-0.1328731665228645,0.4209968186638388,1.5736235595390529,-0.1673570836785418,1.6800000000000002,Tushare pro.daily; returns by trading-day windows
002518.SZ,CN_A,科士达,20260602,CNY,51.95,0.1034409515717929,-0.0865131000527518,0.1397542781921896,1.285525736911571,-0.1941988521793081,1.462085308056872,Tushare pro.daily; returns by trading-day windows
002335.SZ,CN_A,科华数据,20260602,CNY,40.86,-0.3388349514563107,-0.3478052673583399,-0.2275992438563326,0.0230345518277417,-0.4693506493506494,0.0800951625693893,Tushare pro.daily; returns by trading-day windows
600312.SH,CN_A,平高电气,20260602,CNY,20.63,-0.0652469415496149,-0.0955721174923279,0.1931752458068247,0.2480338777979429,-0.1761182108626198,0.43363446838082,Tushare pro.daily; returns by trading-day windows
601179.SH,CN_A,中国西电,20260602,CNY,16.54,-0.0355685131195334,0.0286069651741294,0.8710407239819005,1.6212361331220286,-0.1799702528507686,1.7705192629815745,Tushare pro.daily; returns by trading-day windows
000400.SZ,CN_A,许继电气,20260602,CNY,26.54,0.046117461568782,-0.168025078369906,-0.0089619118745333,0.20581553839164,-0.2187224021195172,0.293372319688109,Tushare pro.daily; returns by trading-day windows
600089.SH,CN_A,特变电工,20260602,CNY,26.12,-0.0414678899082568,-0.1390903098220171,0.1253769926755708,1.1894383906119028,-0.2031726662599146,1.279232111692845,Tushare pro.daily; returns by trading-day windows
300693.SZ,CN_A,盛弘股份,20260602,CNY,50.41,0.0720969800085069,0.2002380952380951,0.208872901678657,0.6978780734253955,-0.2757183908045977,0.8205128205128203,Tushare pro.daily; returns by trading-day windows
002851.SZ,CN_A,麦格米特,20260602,CNY,147.95,0.2797335870599429,0.1870186136071885,1.032001098750171,2.231054815461891,0.0,2.440697674418604,Tushare pro.daily; returns by trading-day windows
